City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
443,Sorong,ID,78.62,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
444,Ozatlan,SV,91.4,few clouds,13.3833,-88.5,Cancha San carlos
446,High Rock,BS,80.62,overcast clouds,26.6208,-78.2833,Hideaway Bahamas Beach Club
448,Namibe,AO,73.62,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
449,Hun,LY,72.16,clear sky,29.1268,15.9477,Alrwasi Hotel
450,Wanning,CN,72.46,clear sky,18.8003,110.3967,Paradise Hotel
451,Manaure,CO,87.58,overcast clouds,11.7751,-72.4445,Hotel Palaaima
452,Acari,PE,83.37,few clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
453,Laguna,US,58.28,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
454,Dingle,PH,76.96,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
455,Dawei,MM,77.38,broken clouds,14.0833,98.2,Hotel Dawei
456,Guasdualito,VE,89.6,broken clouds,7.2424,-70.7324,Hotel Cuibas
458,Luganville,VU,77.68,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
460,Springbok,ZA,76.78,clear sky,-29.6643,17.8865,Undulata Country Lodge
461,Saint-Pierre,RE,80.29,overcast clouds,-21.3393,55.4781,Lindsey Hôtel
464,Shaoguan,CN,64.26,scattered clouds,24.8,113.5833,Shangcheng Hotel
